,0
0,"Starbucks - Downer,"
1,"2550 N Lake Dr, Milwaukee, WI 53211, USA,"
2,"Jack's on Brady,"
3,"Knuckleheads,"
4,"Mitchell Hall,"
5,"Kane and Arlington,"
6,"1824 E Park Pl, Milwaukee, WI 53211, USA,"
7,"Hooligans,"
8,"Subway - Downer,"
9,"Mod Pizza,"
10,"Freshwater,"
11,"Domino's Pizza - Oakland,"
12,"Library,"
13,"Lakefront Brewery,"
14,"Global Water Center,"
15,"Cambridge Commons,"
16,"Lubar,"
17,"Foundation Bar,"
18,"Yo Factory,"
19,"Cafe Hollander,"
20,"Qdoba,"
21,"Sandburg,"
22,"Metro Market Shorewood,"
23,"Riverview,"
24,"2522 N Lake Dr, Milwaukee, WI 53211, USA,"
25,"1709 E Park Pl, Milwaukee, WI 53211, USA,"
26,"4424 North Cramer Street, Milwaukee, Wisconsin 53211, United States,"
27,"Zelazo Front,"
28,"Cunningham,"
29,"2480 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States,"
30,"Alumni House,"
31,"Sendik's - Downer,"
32,"USR Surplus Dock,"
33,"Kenilworth,"
34,"Blaze Pizza,"
35,"Sal's Pizza,"
36,"Ian's,"
37,"Collectivo - Prospect,"
38,"Fresh Fin,"
39,"EMS Cramer,"
40,"Planet Fitness - Capitol,"
41,"Union South,"
42,"7-Eleven - Oakland,"
43,"Klotsche,"
44,"Club Brady,"
45,"Hi Hat,"
46,"Garage,"
47,"7-Eleven - North,"
48,"Up ,"
49,"Stone Creek Coffee Shorewood,"
50,"Walmart,"
51,"Enderis,"
52,"Music Building Parking,"
53,"Thainamite,"
54,"Whole Foods,"
55,"Pick n Save,"
56,"Union North,"
57,"William Ho's,"
58,"Jimmy Johns - Brady,"
59,"Beans & Barley,"
60,"Hefter Center,"
61,"Pizza Shuttle,"
62,"Nomad,"
63,"Jalisco's,"
64,"WalgreensÛÒOakland,"
65,"Landmark Lanes,"
66,"Casablanca,"
67,"1695 N Cass St, Milwaukee, WI 53202, USA,"
68,"Lapham,"
69,"NWQ,"
70,"Arch Court,"
71,"Merrill Hall,"
72,"CVSÛÒBrady,"
73,"WalgreensÛÒBrady,"
74,"Corner Bakery,"
75,"Jimmy Johns - Oakland,"
76,"BelAirÛÒDowner,"
77,"McDonald's - North,"
78,"Aldi,"
79,"Physics Kenwood,"
80,"Norris Health Center,"
81,"Frozone,"
82,"Cousin's - Brady,"
83," ,"
84,"Starbucks Shorewood,"
85,"1858 N Commerce St,"
86,"Comet Cafe,"
87,"Honor's College,"
88,"Colectivo - Shorewood,"
89,"Garland Hall,"
90,"CVSÛÒDowner,"
91,"Pizza Man,"
92,"Brady and Prospect,"
93,"FedEx,"
94,"1320 WI-190, Shorewood, WI 53211, USA,"
95,"Ma Fischer's,"
96,"Englemann,"
97,"EMS Parking,"
98,"McDonalds - Capitol,"
99,"Upark,"
100,"1830 North Oakland Avenue, Milwaukee, Wisconsin 53202, United States,"
101,"Art Bar,"
102,"USR Parking,"
103,"Purin Hall,"
104,"Noodles & Company,"
105,"Camp,"
106,"BelAirÛÒHumbolt,"
107,"Vitucci's,"
108,"1714 E Park Pl, Milwaukee, WI 53211, USA,"
109,"Collectivo - Lake,"
110,"707 E Brady St, Milwaukee, WI 53202, USA,"
111,"Mellencamp Hall Parking,"
112,"Thai Kitchen,"
113,"Toppers,"
114,"Goodwill - Oakland,"
115,"Stone Creek - Downer,"
116,"KIRC Parking,"
117,"Columbia St. Mary's - Main,"
118,"Rochambo,"
119,"Zelazo Parking,"
120,"Miramar Theatre,"
121,"Shawarma House,"
122,"Culver's,"
123,"UWM Klotsche Center ,"
124,"615 E Brady St, Milwaukee, WI 53202, USA,"
125,"Insomnia Cookes,"
126,"Oakland Gyros,"
127,"Curtin,"
128,"Chubbys,"
129,"Zilber,"
130,"Von Trier,"
