blank,1
Klotsche,356
Union South,206
Music Building Parking,49
KIRC Parking,47
Metro Market Shorewood,117
Union North,96
Noodles & Company,60
Library,519
Fresh Fin,10
Starbucks - Downer,22
Sandburg,1266
WalgreensÛÒOakland,67
Thainamite,9
Pick n Save,44
CVSÛÒBrady,12
Arch Court,226
Cambridge Commons,220
Blaze Pizza,53
EMS Parking,301
Culver's,18
Lubar,244
Garland Hall,27
NWQ,75
Lapham,126
Walmart,93
Von Trier,3
USR Surplus Dock,23
USR Parking,209
Zilber,90
Kenilworth,74
Curtin,25
EMS Cramer,75
Global Water Center,9
Freshwater,36
Cunningham,42
Stone Creek - Downer,32
Sal's Pizza,22
Subway - Downer,6
Merrill Hall,27
Aldi,11
BelAirÛÒDowner,35
7-Eleven - Oakland,8
Qdoba,30
Mitchell Hall,20
Zelazo Parking,15
Physics Kenwood,25
WalgreensÛÒBrady,25
Mellencamp Hall Parking,24
Zelazo Front,14
Rochambo,4
CVSÛÒDowner,9
Starbucks Shorewood,1
Oakland Gyros,23
Kane and Arlington,3
Comet Cafe,3
Casablanca,10
Englemann,40
Jalisco's,6
Planet Fitness - Capitol,9
Riverview,30
Enderis,49
Goodwill - Oakland,11
McDonalds - Capitol,2
Collectivo - Prospect,3
Mod Pizza,3
Collectivo - Lake,3
Whole Foods,17
Miramar Theatre,18
 ,5
Purin Hall,18
Honor's College,6
Sendik's - Downer,2
Colectivo - Shorewood,3
1858 N Commerce St,1
Thai Kitchen,9
Insomnia Cookes,6
Knuckleheads,20
William Ho's,2
Ian's,10
Yo Factory,7
Alumni House,3
Landmark Lanes,12
Pizza Man,6
Domino's Pizza - Oakland,8
Cafe Hollander,11
Jack's on Brady,23
7-Eleven - North,3
McDonald's - North,12
Garage,9
Hi Hat,5
Vitucci's,10
Norris Health Center,2
Up ,1
Pizza Shuttle,8
Upark,2
Shawarma House,2
Corner Bakery,1
Jimmy Johns - Oakland,10
Columbia St. Mary's - Main,7
Frozone,1
Brady and Prospect,1
Hooligans,3
Chubbys,4
Nomad,1
Hefter Center,1
UWM Klotsche Center ,1
BelAirÛÒHumbolt,5
Toppers,2
Jimmy Johns - Brady,2
Club Brady,2
Beans & Barley,2
Lakefront Brewery,1
Art Bar,1
Foundation Bar,2
Camp,1
Stone Creek Coffee Shorewood,1
Cousin's - Brady,1
FedEx,1
Ma Fischer's,1
blank,1
3434 North Newhall Street, Milwaukee, Wisconsin 53211, United States,1
2969 North Maryland Avenue, Milwaukee, Wisconsin 53211, United States,1
3496 North Cramer Street, Milwaukee, Wisconsin 53211, United States,1
3324 North Downer Avenue, Milwaukee, Wisconsin 53211, United States,1
