Stop_0,Stop_1,Cnt_0,Cnt_1,Ave
Cunningham Hall (Cunn),Cambridge Commons (CC-S),1622,2740,2181.0 
Cunningham Hall (Cunn),Cambridge Commons - Northbound (CC-N),1,9,5.0 
Cunningham Hall (Cunn),Capitol and Humboldt Park and Ride (C/H),0,0,0.0 
Cunningham Hall (Cunn),Kenilworth Square Apartments (KNW),232,368,300.0 
Cunningham Hall (Cunn),RiverView Residence Hall (RVW),1017,1810,1413.5 
UWM Golda Meir Library (Lib),Cambridge Commons (CC-S),17791,22178,19984.5 
UWM Golda Meir Library (Lib),Cambridge Commons - Northbound (CC-N),34,38,36.0 
UWM Golda Meir Library (Lib),Capitol and Humboldt Park and Ride (C/H),39,34,36.5 
UWM Golda Meir Library (Lib),Kenilworth Square Apartments (KNW),3489,6283,4886.0 
UWM Golda Meir Library (Lib),RiverView Residence Hall (RVW),12542,17239,14890.5 
Sandburg Residence Hall (Sand),Cambridge Commons (CC-S),2091,3091,2591.0 
Sandburg Residence Hall (Sand),Cambridge Commons - Northbound (CC-N),14,21,17.5 
Sandburg Residence Hall (Sand),Capitol and Humboldt Park and Ride (C/H),5170,5386,5278.0 
Sandburg Residence Hall (Sand),Kenilworth Square Apartments (KNW),1011,2776,1893.5 
Sandburg Residence Hall (Sand),RiverView Residence Hall (RVW),777,1153,965.0 
UWM Union (Union),Cambridge Commons (CC-S),15,7,11.0 
UWM Union (Union),Cambridge Commons - Northbound (CC-N),10,10,10.0 
UWM Union (Union),Capitol and Humboldt Park and Ride (C/H),20668,21789,21228.5 
UWM Union (Union),Kenilworth Square Apartments (KNW),125,57,91.0 
UWM Union (Union),RiverView Residence Hall (RVW),0,0,0.0 
Non-Peak Hours UWM KIRC (KIRC-S),Cambridge Commons (CC-S),14,30,22.0 
Non-Peak Hours UWM KIRC (KIRC-S),Cambridge Commons - Northbound (CC-N),0,0,0.0 
Non-Peak Hours UWM KIRC (KIRC-S),Capitol and Humboldt Park and Ride (C/H),51,123,87.0 
Non-Peak Hours UWM KIRC (KIRC-S),Kenilworth Square Apartments (KNW),136,824,480.0 
Non-Peak Hours UWM KIRC (KIRC-S),RiverView Residence Hall (RVW),13,78,45.5 
